"","date","state","tot_cases","new_case","tot_death","new_death","hospital_onset_covid","inpatient_beds","inpatient_beds_used","inpatient_beds_used_covid","previous_day_admission_adult_covid_confirmed","previous_day_admission_adult_covid_suspected","previous_day_admission_pediatric_covid_confirmed","previous_day_admission_pediatric_covid_suspected","staffed_adult_icu_bed_occupancy","staffed_icu_adult_patients_confirmed_and_suspected_covid","staffed_icu_adult_patients_confirmed_covid","total_adult_patients_hospitalized_confirmed_and_suspected_covid","total_adult_patients_hospitalized_confirmed_covid","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid","total_pediatric_patients_hospitalized_confirmed_covid","total_staffed_adult_icu_beds","inpatient_beds_utilization","percent_of_inpatients_with_covid","inpatient_bed_covid_utilization","adult_icu_bed_covid_utilization","adult_icu_bed_utilization"
"1",2020-03-05,"AK",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-05,"AL",0,0,0,0,0,62,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285714285714286,0,0,NA,NA
"3",2020-03-05,"AR",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-05,"AZ",3,1,0,0,0,50,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0,0,NA,NA
"5",2020-03-05,"CA",45,9,1,1,0,33,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363636363636364,0,0,NA,NA
"6",2020-03-05,"CO",1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-05,"CT",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-03-05,"DE",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-03-05,"FL",3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-03-05,"GA",2,0,0,0,0,94,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595744680851064,0,0,NA,NA
"11",2020-03-05,"HI",0,0,0,0,0,803,645,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803237858032379,0,0,NA,NA
"12",2020-03-05,"IA",0,0,0,0,0,198,46,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58974358974359,0.0652173913043478,0.0384615384615385,NA,NA
"13",2020-03-05,"ID",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-03-05,"IL",5,1,0,0,0,36,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-03-05,"IN",0,0,0,0,0,55,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,0,NA,NA
"16",2020-03-05,"KS",0,0,0,0,0,119,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72289156626506,0,0,NA,NA
"17",2020-03-05,"KY",0,0,0,0,0,320,158,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49375,0.00632911392405063,0.003125,NA,NA
"18",2020-03-05,"LA",0,0,0,0,0,58,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210526315789474,0,0,NA,NA
"19",2020-03-05,"MA",2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-03-05,"MD",3,3,0,0,0,6,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0,0,NA,NA
"21",2020-03-05,"ME",0,0,0,0,0,93,79,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849462365591398,0,0,NA,NA
"22",2020-03-05,"MI",0,0,0,0,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"23",2020-03-05,"MN",0,0,0,0,0,46,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2020-03-05,"MO",0,0,0,0,0,417,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0,0,NA,NA
"25",2020-03-05,"MS",0,0,0,0,0,29,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.310344827586207,0,0,NA,NA
"26",2020-03-05,"MT",0,0,0,0,0,58,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586206896551724,0,0,NA,NA
"27",2020-03-05,"NC",1,0,0,0,0,72,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0,0,NA,NA
"28",2020-03-05,"ND",0,0,0,0,0,27,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0,0,NA,NA
"29",2020-03-05,"NE",0,0,0,0,0,44,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"30",2020-03-05,"NH",2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2020-03-05,"NJ",2,2,0,0,NA,38,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2020-03-05,"NM",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2020-03-05,"NV",1,1,0,0,0,85,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235294117647059,0,0,NA,NA
"34",2020-03-05,"NY",12,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
